schedule_operation_id,machine_id,task,task_mode,planned_start,planned_end,product_finished
TEXTILE-SCHEDULE-0101,MAQ119,Ironing,Ironing TM2,2026-01-07T03:40:00+00:00,2026-01-07T03:45:00+00:00,GORGORÃO RIBBON W/ INSCR
TEXTILE-SCHEDULE-0102,MAQ119,Harden[1],Harden[1] TM1,2026-01-07T04:25:00+00:00,2026-01-07T05:45:00+00:00,
TEXTILE-SCHEDULE-0103,MAQ119,Harden[1],Harden[1] TM1,2026-01-07T05:45:00+00:00,2026-01-07T07:05:00+00:00,TAFFETA EMBLEM
TEXTILE-SCHEDULE-0104,MAQ119,Harden[1],Harden[1] TM1,2026-01-07T07:25:00+00:00,2026-01-07T08:45:00+00:00,WOVEN LABEL OURELA FABRIC
TEXTILE-SCHEDULE-0105,MAQ119,Harden[1],Harden[1] TM1,2026-01-07T08:55:00+00:00,2026-01-07T10:15:00+00:00,WOVEN LABEL OURELA FABRIC
TEXTILE-SCHEDULE-0106,MAQ119,Harden[0.5],Harden[0.5] TM1,2026-01-07T10:25:00+00:00,2026-01-07T11:25:00+00:00,
TEXTILE-SCHEDULE-0107,MAQ119,Harden[1],Harden[1] TM1,2026-01-07T11:35:00+00:00,2026-01-07T12:55:00+00:00,TAFFETA EMBLEM
TEXTILE-SCHEDULE-0108,MAQ119,Harden[0.5],Harden[0.5] TM1,2026-01-07T13:00:00+00:00,2026-01-07T14:00:00+00:00,
TEXTILE-SCHEDULE-0109,MAQ119,Harden[0.5],Harden[0.5] TM1,2026-01-07T14:05:00+00:00,2026-01-07T15:05:00+00:00,SMOOTH ELASTIC(A)
TEXTILE-SCHEDULE-0110,MAQ119,Harden[1],Harden[1] TM1,2026-01-07T15:15:00+00:00,2026-01-07T16:35:00+00:00,WOVEN LABEL OURELA FABRIC
TEXTILE-SCHEDULE-0111,MAQ119,Harden[1],Harden[1] TM1,2026-01-07T16:35:00+00:00,2026-01-07T17:55:00+00:00,
